,Year,Reciever,Grant size (DKK),Description,Institution,Grant Number,Project Category
1447,"År
2020",Jaana Carolina Sanchez Boe,"Beløb
DKK 1,433,175",Digital Confinement The Reconfigurations of Borders and Detention Through New Technologies,"Institution
Universite de Paris and CUNY",1448,Reintegration Fellowships
1448,"År
2020",Thomas B. Poulsen,"Beløb
DKK 1,000,000",Automating cell based screening and morphological profiling,"Institution
Aarhus University",1449,Research Infrastructure
1449,"År
2020",Andreas Roepstorff,"Beløb
DKK 230,152",Building a Mobile Eye Tracking Infrastructure in Denmark,"Institution
Aarhus University",1450,Research Infrastructure
1450,"År
2020",Katrine Worsaae,"Beløb
DKK 118,000",Illuminating the anatomy - replacement of a multiline Argon 488 laser in a 4-laser Olympus FV1000 confocal laser scanning microscope,"Institution
University of Copenhagen",1451,Research Infrastructure
1451,"År
2020",Andreas Schramm,"Beløb
DKK 300,000","Fluorescence Lifetime Imaging Microscopy, FLIM, for chemical and metabolic imaging in microbial systems","Institution
Aarhus University",1452,Research Infrastructure
1452,"År
2020",Henrik Kloppenborg Møller,"Beløb
DKK 700,000","Connectivity and Disruption: Development, Neighboring, and Livelihoods in China s Belt and Road Borderlands","Institution
Global Sustainable Development, University of Warwick",1453,Internationalisation Fellowships
1453,"År
2020",Hanne Borger Rasmussen,"Beløb
DKK 140,154",A Toolbox of Optogenetic Probes for the Axon Initial Segment,"Institution
University of Copenhagen",1454,Research Infrastructure
1454,"År
2020",Jesper Olsen,"Beløb
DKK 1,300,000",Ultra small samples directly on CO2 for Accelerator Mass Spectrometry AMS a first step towards 14CO2 dating of methane from marine sediments,"Institution
Aarhus University",1455,Research Infrastructure
1455,"År
2020",Nanna Katrine Lüders Kaalund,"Beløb
DKK 1,216,285",Economizing Science and National Identities: The Royal Greenland Trading Department and the Making of Modern Denmark and Greenland,"Institution
University of Cambridge",1456,Reintegration Fellowships
1456,"År
2020",Mathias Luidor Heltberg,"Beløb
DKK 1,704,292",Repair and regulation in DNA damage response,"Institution
Ecole Normale Supérieure, Paris",1457,Reintegration Fellowships
1457,"År
2020",Tais W. Dahl,"Beløb
DKK 113,819",Field work quantifying runaway-anoxia in past oceans,"Institution
University of Copenhagen",1458,"Field Trips / Research Stays >100,000"
1458,"År
2020",Michaela Hejná,"Beløb
DKK 3,708,897","It is not what you said, it is how you said it: An empirical approach to human voice as the outward expression of inner character","Institution
Aarhus University",1459,Semper Ardens: Accelerate
1459,"År
2020",Claudia Strauch,"Beløb
DKK 3,863,066",Exploring the potential of nonparametric modelling of complex systems via stochastic partial differential equations,"Institution
Aarhus University",1460,Semper Ardens: Accelerate
1460,"År
2020",Frederik Diness,"Beløb
DKK 350,000",Open access instruments for safe and efficient peptide research,"Institution
University of Copenhagen",1461,Research Infrastructure
1461,"År
2020",Judith Kuntsche,"Beløb
DKK 750,000",Asymmetrical flow field-flow fractionation with multi-angle light scattering for characterization of complex colloidal systems,"Institution
University of Southern Denmark",1462,Research Infrastructure
1462,"År
2020",Rob Gleasure,"Beløb
DKK 3,904,822","Mood synchronicity, collaboration media, and task outcomes","Institution
Copenhagen Business School",1463,Semper Ardens: Accelerate
1463,"År
2020",Rasmus Sevelsted,"Beløb
DKK 1,209,417",Masculine Identities in Classical Greece,"Institution
University of Cambridge",1464,Reintegration Fellowships
1464,"År
2020",Videnskabernes Selskab / Royal Academy,"Beløb
DKK 8,000,000",Videnskabernes Selskabs drift i 2021,"Institution
Det Kgl. Danske Videnskabernes selskab",1465,Other Grants determined by the Charter
1465,"År
2020",kirsten thisted,"Beløb
DKK 102,000",Stemmer fra kolonitidens Grønland,"Institution
University of Copenhagen",1466,Publication
1466,"År
2020",Frederik Stjernfelt,"Beløb
DKK 888,000",Anthropology of Democracy. Theories of Human Political Agency,"Institution
Aalborg University",1467,Monograph Fellowships
1467,"År
2020",Karen Skovgaard-Petersen /DSL,"Beløb
DKK 6,000,000",Dansk videnskabshistorie,"Institution
Det Danske Sprog- og Litteraturselskab",1468,Strategic Grants
1468,"År
2020",Minik Rosing,"Beløb
DKK 100,000",Fjorden,"Institution
University of Copenhagen",1469,"Field Trips / Research Stays >100,000"
1469,"År
2020",Lill Rastad Bjørst,"Beløb
DKK 55,000",Greenland-Denmark 1721-2021,"Institution
Aalborg University",1470,Conferences
1470,"År
2020",Carlsbergfondet,"Beløb
DKK 1,406,250",Film i forbindelse med COVID19 bevillinger,Institution,1471,Activity Grants
1471,"År
2020",Rane Willerslev,"Beløb
DKK 914,000",Danmarks Kirker,"Institution
Nationalmuseet",1472,Publication
1472,"År
2020",Annette Rathje,"Beløb
DKK 196,500",Ancient Etruria (Acta Hyperborea Danish Studies in Classical Archaeology 16),"Institution
University of Copenhagen",1473,Publication
1473,"År
2020",DSL - Karen Skovgaard-Petersen,"Beløb
DKK 220,799",Erik Eriksen Pontoppidan: Dansk grammatik,"Institution
Det Danske Sprog- og Litteraturselskab",1474,Publication
1474,"År
2020",Karen Skovgaard-Petersen /DSL,"Beløb
DKK 429,374",Ole Rømer: The Triduum Observations,"Institution
Det Danske Sprog- og Litteraturselskab",1475,Publication
1475,"År
2020",Nils Arne Pedersen,"Beløb
DKK 59,200",10th Conference of the International Association of Manichaean Studies,"Institution
Aarhus University",1476,Conferences
1476,"År
2020",Ingo Zettler,"Beløb
DKK 78,450","In quest of the personality origins of selfish, socially aversive, and outright malevolent behavior: Bridging lexical and rational approaches to basic and specific traits","Institution
University of Copenhagen",1477,"Field Trips / Research Stays < 100,000"
1477,"År
2020",Emanuele Ettore Intagliata,"Beløb
DKK 48,192",Cities on the Edge. Exploring Late Antique urbanism in the Southern Caucasus - AD 300-600,"Institution
Aarhus University",1478,Conferences
1478,"År
2020",Ulla Kjær,"Beløb
DKK 86,591","Danske Magazin bd. 54, 2021","Institution
Nationalmuseet",1479,Publication
1479,"År
2020",Jacob Carstensen,"Beløb
DKK 60,000",Baltic Sea Science Congress 2021,"Institution
Aarhus University",1480,Conferences
1480,"År
2020",Anna von Lowzow,"Beløb
DKK 775,000",Dokumentarfilm om Niels Bohr og hans Institut - Forskning og uddannelse,Institution,1481,Carlsberg Mindelegat
1481,"År
2020",Linacre College,"Beløb
DKK 1,198,061",Carlsberg-Pettit-Linacre agreement - Professor Morten Kringelbach,Institution,1482,Strategic Grants
1482,"År
2020",Linacre College,"Beløb
DKK 6,160,730",Carlsberg-Pettit-Linacre agreement - Fellowships,Institution,1483,Strategic Grants
1483,"År
2020",Rune Lykkeberg,"Beløb
DKK 2,064,284",Vi giver dig naturvidenskaben tilbage - en naturvidenskabelig kanon fra Information,Institution,1484,Carlsberg Mindelegat
1484,"År
2020",Ruth Noyes,"Beløb
DKK 60,000",Danish Empires of Vision,"Institution
National Museum of Denmark",1485,Conferences
1485,"År
2020",Beatriz Martinez Romera,"Beløb
DKK 59,600",Enhancing Climate Action beyond the State,"Institution
University of Copenhagen",1486,Conferences
1486,"År
2020",Tine Reeh,"Beløb
DKK 31,803",Research Stay at Forschungszentrum Gotha,"Institution
University of Copenhagen",1487,"Field Trips / Research Stays < 100,000"
1487,"År
2020",Prem Poddar,"Beløb
DKK 65,000",At the China-India Border: Himalayan Kalimpong,"Institution
Roskilde University",1488,"Field Trips / Research Stays < 100,000"
1488,"År
2020",Rubina Raja,"Beløb
DKK 90,187",Årets Kvinder i dansk forskning,"Institution
Videnskabsklubben",1489,Conferences
1489,"År
2020",Shai Dothan,"Beløb
DKK 60,000",Interdisciplinary approaches and methods in European Union law,"Institution
University of Copenhagen",1490,Conferences
1490,"År
2020",Stefan Sommer,"Beløb
DKK 55,000",Information Processing in Medical Imaging 2021,"Institution
University of Copenhagen",1491,Conferences
1491,"År
2020",Sophie Wennerscheid,"Beløb
DKK 28,000","Ecology, technology and the Christian heritage in Nordic speculative media","Institution
University of Copenhagen",1492,Conferences
1492,"År
2020",Katherine Richardson Christensen,"Beløb
DKK 21,440,426","Queen Margrethe and Vigdís Finnbogadóttir´s Interdisciplinary Research Centre on Ocean, Climate, and Society",Institution,1493,Semper Ardens: Advance
1493,"År
2020",Mette Burmølle,"Beløb
DKK 60,000",Annual Congress of Danish Microbiological Society,"Institution
University of Copenhagen",1494,Conferences
1494,"År
2020",Marianne Pade,"Beløb
DKK 59,800",Popular Receptions of Classical Antiquity,"Institution
Aarhus University",1495,Conferences
1495,"År
2020",Christian Aalkjær,"Beløb
DKK 60,000",The 2021 conference of the European Society for Microcirculation,"Institution
Aarhus University",1496,Conferences
1496,"År
2020",Mette Birkedal Bruun,"Beløb
DKK 6,185,758",STAY HOME. Hjemmet under coronakrisen - og bagefter,"Institution
University of Copenhagen",1497,Semper Ardens: Advance
1497,"År
2020",Christina Lupton,"Beløb
DKK 1,380,657",The Experience of Reading During Covid-19 Lockdowns: Denmark and the UK,"Institution
University of Copenhagen",1498,Strategic Grants
1498,"År
2020",Gürkan Sin,"Beløb
DKK 47,500",The CAPE Forum 2020,"Institution
Technical University of Denmark",1499,Conferences
1499,"År
2020",Jean-Francois Perrier,"Beløb
DKK 40,000",Neuron-glia signaling underlying brain behavior,"Institution
University of Copenhagen",1500,Conferences
1500,"År
2020",Biotech Academy,"Beløb
DKK 79,122",Gennemførelse af Biotech Academy Campen 2020,Institution,1501,Carlsberg Mindelegat
1501,"År
2020",Kristoffer Szilas,"Beløb
DKK 93,241",Are there really Archaean mantle rocks in Greenland?,"Institution
University of Copenhagen",1502,"Field Trips / Research Stays < 100,000"
1502,"År
2020",Iryna MARCHUK,"Beløb
DKK 99,250","East v West: Russia, International Law and Transformation of the International Legal Order","Institution
University of Copenhagen",1503,"Field Trips / Research Stays < 100,000"
1503,"År
2020",Jakob Birkedal Wagner,"Beløb
DKK 60,000",EMC2020 - European Microscopy Congress 2020,"Institution
Technical University of Denmark",1504,Conferences
1504,"År
2020",Toke R Fosgaard,"Beløb
DKK 100,000",Knowledge exchange and collaboration within sustainable food consumption and behavioral economics,"Institution
University of Copenhagen",1505,"Field Trips / Research Stays >100,000"
1505,"År
2020",Jens Eiken,"Beløb
DKK 102,000",Den Nøgne Øl,Institution,1506,Strategic Grants
1506,"År
2020",Jens Holbech,"Beløb
DKK 2,000,000",Livestreaming af Offentlige Foredrag,"Institution
Aarhus University",1507,Strategic Grants
1507,"År
2020",Steen Thomsen,"Beløb
DKK 1,051,238",Long-Term Ownership and Value Creation in Enterprise Foundations,"Institution
Copenhagen Business School",1508,Strategic Grants
1508,"År
2020",Ungdommens Naturvidenskabelige Forening,"Beløb
DKK 150,000",UNF ScienceCamps 2020,Institution,1509,Carlsberg Mindelegat
1509,"År
2020",Michael Bang Petersen,"Beløb
DKK 30,280,534",HOPE - How Democracies Cope with Covid19s,"Institution
Aarhus University",1510,Semper Ardens: Advance
1510,"År
2020",Ali Salanti,"Beløb
DKK 25,000,000","Udvikling af metoder til diagnostik, behandling og forebyggelse af SARS-CoV-2 infektioners",Institution,1511,Semper Ardens: Advance
1511,"År
2020",Lone Simonsen,"Beløb
DKK 10,000,000",PandemiX - A Quantitative study of historical and contemporary pandemics,Institution,1512,Semper Ardens: Advance
1512,"År
2020",Séamus A. Power,"Beløb
DKK 59,400",Pluralistic Societies: Challenges and opportunities of cultural diversity in liberal democracies,"Institution
University of Copenhagen",1513,Conferences
1513,"År
2020",Morten Midtgaard Fogt,"Beløb
DKK 60,000",The 2020 EAPIL Aarhus Conference,"Institution
Aarhus University",1514,Conferences
1514,"År
2020",Stephan Sylvest Keller,"Beløb
DKK 51,000",CMEMS2020 - International Conference on Carbon Micro- and Nanofabrication,"Institution
Technical University of Denmark",1515,Conferences
1515,"År
2020",Hans-Otto Sano,"Beløb
DKK 60,000",Exploring and Explaining Human Rights Change,"Institution
The Danish Institute for Human Rights",1516,Conferences
1516,"År
2020",Mikkel Heide Schierup,"Beløb
DKK 60,000","Mutationathon, standardizing the estimation of germline mutation rate","Institution
Aarhus University",1517,Conferences
1517,"År
2020",Astrid Elkjær Sørensen,"Beløb
DKK 50,000",Nordic Labour History Conference (NLHC 2020),"Institution
Aarhus University",1518,Conferences
1518,"År
2020",Dansk Kvindesamfund,"Beløb
DKK 65,000",Kvinders talent går tabt i forskningen,Institution,1519,Publication
1519,"År
2020",Paul Sharp,"Beløb
DKK 60,000",Ninth CEPR Economic History Symposium,"Institution
University of Southern Denmark",1520,Conferences
1520,"År
2020",Karen Skovgaard-Petersen /DSL,"Beløb
DKK 211,688","Tekstkritisk, kommenteret udgave af H.C. Ørsteds hovedværk, Aanden i Naturen, fra 1850","Institution
Det Danske Sprog- og Litteraturselskab",1521,Publication
1521,"År
2020",Shai Dothan,"Beløb
DKK 49,800",How Personal Characteristics of International Judges Affect Their Rulings: Socio-Legal Perspectives,"Institution
University of Copenhagen",1522,Conferences
1522,"År
2020",Alan Irwin,"Beløb
DKK 60,000","Annual Meeting of the Science and Democracy Network, SDN, 2020","Institution
Copenhagen Business School",1523,Conferences
1523,"År
2020",Agnes Ida Benedicte Nicolaisen,"Beløb
DKK 132,061",I Renernes Land,"Institution
University of Copenhagen",1524,Publication
1524,"År
2020",Bo Kristian Holm,"Beløb
DKK 58,627",Tenth International RefoRC on Early Modern Christianity,"Institution
Aarhus University",1525,Conferences
1525,"År
2020",Hans Lauge Hansen,"Beløb
DKK 55,900",Mnemonics Summerschool 2020,"Institution
Aarhus University",1526,Conferences
1526,"År
2020",Antti-Pekka Jauho,"Beløb
DKK 60,000",Graphene 2021,"Institution
Technical University of Denmark",1527,Conferences
1527,"År
2020",Peter Gammeltoft,"Beløb
DKK 60,000",Copenhagen Conference on Emerging Multinationals: Outward Investment from Emerging Economies,"Institution
Copenhagen Business School",1528,Conferences
1528,"År
2020",Sergey Kucheryavskiy,"Beløb
DKK 55,500",Conference on spectral imaging under the International Association of Spectral Imaging (IASIM),"Institution
Aalborg University",1529,Conferences
1529,"År
2020",Leonid Gurevich,"Beløb
DKK 59,300",5th International Conference on Self-Assembly and Molecular Electronics SAME2020,"Institution
Aalborg University",1530,Conferences
1530,"År
2020",Steen Bo Frandsen,"Beløb
DKK 15,000",Dansk Historikermøde 2020,"Institution
University of Southern Denmark",1531,Conferences
1531,"År
2020",Merete Birkelund,"Beløb
DKK 60,000",Argumentative Semantics and Political Discourse,"Institution
Aarhus University",1532,Conferences
1532,"År
2020",Bastian Epp,"Beløb
DKK 60,000",Mechanics of Hearing 2020 - MOH2020,"Institution
Technical University of Denmark",1533,Conferences
1533,"År
2020",Anna Sandberg,"Beløb
DKK 60,000","Just as alluring as instructive. Henrik Steffens Concept of Nature in Science, Humanities and Arts around 1800","Institution
University of Copenhagen",1534,Conferences
1534,"År
2020",Michael Poulsen,"Beløb
DKK 60,000",International Symposium on Fungal Adaptation and Evolution,"Institution
University of Copenhagen",1535,Conferences
1535,"År
2020",Christian Mac Ørum Mosdal,"Beløb
DKK 60,000",GOBEnhagen – A Baltic perspective on the role of the GOBE: High resolution stratigraphy through early Palaeozoic ecosystems change,"Institution
University of Copenhagen",1536,Conferences
1536,"År
2020",Claus Juul Løland,"Beløb
DKK 60,000",The 2nd International Transmembrane Transporter Society Meeting - Catching Transport in Motion,"Institution
University of Copenhagen",1537,Conferences
1537,"År
2020",Katrine Holck,"Beløb
DKK 500,000",Unge Forskere - Danmarks største naturvidenskabelige konkurrencen for børn og unge,Institution,1538,Carlsberg Mindelegat
1538,"År
2020",Søren Poulsen,"Beløb
DKK 75,000",Robotolympiaden 2020,Institution,1539,Carlsberg Mindelegat
