Year	Reciever	Grant size (DKK)	Description	Project Category	Location	Title
Year: 2013	Grantee: Dr. Muzlifah Haniffa	Amount: DKK 500,000	"Presented to Muzlifah Haniffa, Wellcome Trust Clinical Intermediate Fellow in Dermatology at the Institute of Cellular Medicine, Newcastle University, UK.
Dr. Haniffa’s research focuses on dendritic cells; a type of white blood cells also present in the skin that are important in regulating immune responses against microorganisms, cancer and tolerance to self-proteins. Her research has the potential to lead to enhanced vaccination strategies against cancer, such as melanoma, and infections."	Grant category: LEO Foundation Awards	Geography: United Kingdom	The LEO Foundation Award 2013 – Silver Award
Year: 2013	Grantee: Dr. Onur Boyman	Amount: DKK 1,000,000	"Presented to Onur Boyman, Professor, Dr. med., Senior Consultant Physician and Head of Laboratory at the Department of Dermatology, University Hospital Zurich.
Professor Boyman’s research focuses on the function of T cell subsets and different cytokines in the pathogenesis of psoriasis and other immune-mediated diseases and the treatment of melanoma. His research shows great promise both as a potential treatment of autoimmune and inflammatory diseases and as a potential cancer therapy."	Grant category: LEO Foundation Awards	Geography: Switzerland	The LEO Foundation Award 2013 – Gold Award
Year: 2013	Grantee: Professor Martin Steinhoff, University of California San Francisco	Amount: USD 388,225	"Itch is probably the most common symptom in dermatology and it is associated with a significant impact on the patient’s life.
A team led by Professor Martin Steinhoff, University of California San Francisco, has set out to develop novel targeted therapies for chronic itch in humans.
Besides the lesional and non-lesional as compared to healthy skin, the project team will also identify critical itch mediators and/or receptors that are expressed (and activated) in human dorsal root ganglion (DRG) and spinal cord tissue. To address this, mediators will be identified as well as receptors associated with human itch, and thereby the team will be able to define “biomarkers” for the different pruritic human diseases.
The project will be the first-of-a-kind study to analyse the expression and distribution of key itch mediators and receptors in human skin, human DRG and human spinal cord, and will therefore provide a significant basis for future translational research that targets these mediators/receptors in the different subtypes of itch.
Moreover, it is the first time that it will be tested whether several new itch pathways that have been described in murine skin models are relevant, i.e. can be translated, in human disease state."	Grant category: Research Grants in open competition	Geography: USA	Identification and Characterization of Key Itch Mediators and Receptors in Human Pruitus
	Grantee: Associate Professor Kiarash Khosrotehrani, University of Queensland	Amount: AUD 268,239				The natural history of skin cancer formation: from normal skin to cancer
	Grantee: Associate Professor Kiarash Khosrotehrani, University of Queensland	Amount: AUD 415,386				Preventing Basal Cell Carcinoma formation by targeting the tumor environment
	Grantee: Mikkel Bohm, Young Scientists (Astra)	Amount: DKK 3,000,000				Young Scientists
	Grantee: Department of Pharmacy, University of Copenhagen	Amount: DKK 40,000,000				LEO Foundation Center for Cutaneous Drug Delivery
	Grantee: Dr. Christina Zielinski	Amount: DKK 500,000				The LEO Foundation Award 2014 – Silver Award
	Grantee: Dr. Kim B. Jensen	Amount: DKK 1,000,000				The LEO Foundation Award 2014 – Gold Award
	Grantee: Professor Lone Skov, Department of Dermato-Allergology, Gentofte Hospital	Amount: DKK 4,500,000				Psoriasis in children
	Grantee: Dr. Muzlifah Haniffa	Amount: DKK 500,000				The LEO Foundation Award 2013 – Silver Award
	Grantee: Dr. Onur Boyman	Amount: DKK 1,000,000				The LEO Foundation Award 2013 – Gold Award
	Grantee: Professor Martin Steinhoff, University of California San Francisco	Amount: USD 388,225				Identification and Characterization of Key Itch Mediators and Receptors in Human Pruitus
Year: 2015	Grantee: Associate Professor Kiarash Khosrotehrani, University of Queensland	Amount: AUD 268,239	"Associate Professor Kiarash Khosrotehrani from The University of Queensland leads a team that has hypothesized that upon UV irradiation and acquisitions of mutations, only epidermal cells that can rapidly proliferate are likely to give rise to pre-cancerous and cancerous lesions.
This hypothesis will be tested using multicolour lineage tracing to follow simultaneously multiple epidermal clones that will further be microdissected to establish their mutational profile.  This study has the potential to fundamentally change our understanding of field cancerisation, cell of origin of squamous cell cancer establishing potentially new therapeutic targets."	Grant category: Research Grants in open competition	Geography: Australia	The natural history of skin cancer formation: from normal skin to cancer
Year: 2015	Grantee: Associate Professor Kiarash Khosrotehrani, University of Queensland	Amount: AUD 415,386	"In this study, Associate Professor Kiarash Khosrotehrani of The University of Queensland in Australia proposes to better characterise the molecular nature of the factors provided by fibroblasts to support basal cell carcinoma (BCC) growth in vivo in order to find new targets for therapies that would prevent BCC development. He and his team will also show proof of principle demonstrating that targeting this process can actually prevent BCC development.
These findings have the potential to translate in effective prevention strategies, allowing field therapy of normal looking skin to avoid the development of new BCCs. Such finding will have strong health benefits in terms of morbidity associated with multiple surgeries, years of healthy life enjoyed by individuals and finally in terms of economic cost."	Grant category: Research Grants in open competition	Geography: Australia	Preventing Basal Cell Carcinoma formation by targeting the tumor environment
